Architect|Borough|DateDesignated|LPCId|LPNumber|Name|ObjectType|PhotoStatus|PhotoURL|Street|Style
Frederick Putnam Platt and Brother (Charles Carsten Platt)|Manhattan|1/30/2007|2192|LP-02192|Horn & Hardart Automat Cafeteria Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2192.jpg|2701-2714 Broadway|Art Deco
John Eberson|Bronx|5/16/2006|2193|LP-02193|Loew's Paradise Theater Interior|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2193.jpg|2405-2419 Grand Concourse|Renaissance, Baroque
William Welles Bosworth|Manhattan|7/25/2006|2194|LP-02194|American Telephone & Telegraph Company Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2194.jpg|195 Broadway|Neoclassical
A.B. Ogden & Son|Bronx|5/16/2006|2195|LP-02195|Estey Piano Company Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2195.jpg|112-128 Lincoln Avenue|American rounded arch, Romanesque
John M. Hatton, Aymer Embury II|Queens|6/20/2006|2196|LP-02196|Astoria Park Pool and Play Center|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2196.jpg|24-02 To 24-36 19 Street|Art Moderne
Aymar Embury II|Bronx|6/20/2006|2197|LP-02197|Orchard Beach Bathhouse and Promenade|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2197.jpg|895 Pelham Shore Road|Beaux-Arts
Gaetano Ajello|Manhattan|6/6/2006|2198|LP-02198|Claremont Theater Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2198.jpg|3320 Broadway|Classical Revival
William Welles Bosworth|Manhattan|7/25/2006|2199|LP-02199|American Telephone & Telegraph Company Building, First Floor Interior|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2199.jpg|195 Broadway|Neoclassical
Bradford Lee Gilbert|Queens|6/20/2006|2200|LP-02200|Fire Engine Company No. 258, Hook and Ladder Company No. 115|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2200.jpg|10-40 47 Avenue|Dutch Renaissance Revival
Delano & Aldrich|Staten Island|9/19/2006|2201|LP-02201|Staten Island Savings Bank Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2201.jpg|81 Water Street|Italian Renaissance, Neoclassical
William Field & Son|Brooklyn|6/27/2006|2202|LP-02202|New York and Long Island Coignet Stone Company Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2202.jpg|360 Third Avenue|N/A
Unknown|Brooklyn|1/24/2012|2202A|LP-02202A|New York and Long Island Coignet Stone Company Building, Amendment to Landmark Site|Individual Landmark|FALSE||360 Third Avenue|N/A
Unknown|Brooklyn|4/24/2007|2204|LP-02204|Crown Heights North Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2204.jpg||N/A
Unknown|Manhattan|5/15/2012|2205|LP-02205|Van Tassell & Kearney Auction Mart|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2205.jpg|126-128 East 13Th Street|N/A
Unknown|Brooklyn|10/24/2006|2207|LP-02207|George B. and Susan Elkins House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2207.jpg|1375 Dean Street|Greek Revival, Italianate
Unknown|Brooklyn|3/18/2008|2208|LP-02208|Fiske Terrace-Midwood Park Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2208.jpg||N/A
C Abbott French and Co.|Manhattan|11/14/2006|2209|LP-02209|New-York Cab Company Stable|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2209.jpg|313-330 Amsterdam Avenue|Romanesque Revival
Unknown|Manhattan|3/6/2007|2210|LP-02210|354 West 11th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2210.jpg|354 West 11Th Street|Greek Revival
Unknown|Manhattan|3/6/2007|2211|LP-02211|159 Charles Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2211.jpg|159 Charles Street|Greek Revival
Julius Munckwitz|Manhattan|3/6/2007|2212|LP-02212|Keller Hotel|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2212.jpg|150 Barrow Street|Renaissance Revival
Unknown|Manhattan|5/15/2007|2213|LP-02213|63 Nassau Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2213.jpg|63 Nassau Street|N/A
McKim Mead & White (William Kendall)|Brooklyn|3/13/2007|2214|LP-02214|Laboratory Administration Building, Brooklyn Botanic Garden|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2214.jpg|1000 Washington Avenue|Tuscan Revival
Unknown|Brooklyn|12/12/2006|2215|LP-02215|James W. and Lucy S. Elwell House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2215.jpg|70 Lefferts Place|Italianate
Samuel Adams Warner|Manhattan|3/13/2007|2217|LP-02217|23 Park Place Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2217.jpg|23 Park Place|Italianate
Unknown|Manhattan|6/23/2009|2218|LP-02218|94 Greenwich Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2218.jpg|94 Greenwich Street|N/A
Unknown|Staten Island|3/24/2009|2221|LP-02221|Rutan Journeay House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2221.jpg|7647 Amboy Road|N/A
Samuel Adams Warner|Manhattan|3/13/2007|2223|LP-02223|25 Park Place Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2223.jpg|25 Park Place|N/A
John Rohr|Manhattan|7/24/2007|2224|LP-02224|488 Greenwich Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2224.jpg|488 Greenwich Street|Federal
John Rohr|Manhattan|7/24/2007|2225|LP-02225|486 Greenwich Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2225.jpg|486 Greenwich Street|Federal
Warren and Wetmore|Manhattan|7/24/2007|2226|LP-02226|Frederick C. and Birdsall Otis Edey Residence|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2226.jpg|10 West 56Th Street|French Renaissance Revival
C. P. H. Gilbert|Manhattan|7/24/2007|2227|LP-02227|Henry Seligman Residence|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2227.jpg|30 West 56Th Street|French Renaissance Revival
Unknown|Staten Island|7/15/2008|2229|LP-02229|The George Cunningham Store|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2229.jpg|173 Main Street|N/A
Unknown|Staten Island|10/30/2007|2231|LP-02231|Gillett-Tyler House (103 Circle Road)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2231.jpg|103 Circle Road|Greek Revival
Herbert Magoon, Aymer Embury II, Gilmore D. Clarke (landscape arch)|Bronx|6/26/2007|2232|LP-02232|Crotona Play Center|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2232.jpg|1700 Fulton Avenue; 1700Rear Fulton Avenue|Art Moderne
Herbert Magoon, Aymer Embury II, Gilmore D. Clarke (landscape arch)|Bronx|6/26/2007|2233|LP-02233|Crotona Play Center Bath House Interior|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2233.jpg|1700 Fulton Avenue|Art Moderne
Unknown|Staten Island|9/16/2008|2234|LP-02234|Tompkinsville (Joseph H. Lyons) Pool|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2234.jpg|See Designation Report|N/A
Unknown|Staten Island|9/16/2008|2235|LP-02235|Tompkinsville (Joseph H. Lyons) Pool Bath House, FIrst Floor Interior|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2235.jpg|See Designation Report|N/A
Stanley C. Brogren, Aymar Embury II, Henry Ahrens|Manhattan|7/24/2007|2236|LP-02236|Thomas Jefferson Play Center|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2236.jpg|2158 First Avenue|Art Moderne, Modern Classical
Joseph Hautman, Aymar Embury II|Manhattan|8/14/2007|2237|LP-02237|Highbridge Play Center|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2237.jpg|2275 Amsterdam Avenue|Art Moderne, Modern Classical
Aymar Embury II, Henry Ahrens|Manhattan|4/10/2007|2238|LP-02238|Jackie Robinson (Colonial Park) Play Center|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2238.jpg|319 West 145 Street|Art Moderne, Modern Classical
Aymar Embury II, Henry Ahrens|Manhattan|4/10/2007|2239|LP-02239|Jackie Robinson (Colonial Park) Play Center Bath House Interior|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2239.jpg|319 West 145 Street|Art Moderne, Modern Classical
Unknown|Brooklyn|9/16/2008|2240|LP-02240|Betsy Head Play Center|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2240.jpg|See Designation Report|N/A
Unknown|Brooklyn|11/18/2008|2241|LP-02241|Red Hook Play Center (Sol Goldman Pool)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2241.jpg|155 Bay Street (Aka 123-155 Bay Street; 648-682 Clinton Street; 787-825 Henry Street; 140-182 Lorraine Street)|N/A
Herbert Magoon, Aymar Embury II, Henry Ahrens|Brooklyn|7/24/2007|2242|LP-02242|Sunset Play Center|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2242.jpg|4200 Fifth Avenue|Art Moderne
Unknown|Brooklyn|7/24/2007|2243|LP-02243|Sunset Play Center Bath House, First Floor Interior|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2243.jpg|4200 Fifth Avenue|N/A
Aymar Embury II, Joseph L. Hautman, Henry Ahrens|Brooklyn|7/24/2007|2244|LP-02244|McCarren Play Center|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2244.jpg|431 Driggs Avenue|N/A
Mayer and Whittlesey with Skidmore Owings and Merrill|Manhattan|10/30/2007|2246|LP-02246|Manhattan House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2246.jpg|200 East 66 Street|Modern
Unknown|Manhattan|11/18/2008|2247|LP-02247|Guardian Life Insurance Company of America Annex|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2247.jpg|105 East 17 Street (Aka 105-117 East 17 Street; 108-116 East 18 Street)|N/A
Unknown|Staten Island|1/13/2009|2249|LP-02249|John H. and Elizabeth J. Elsworth House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2249.jpg|90 Bayview Avenue|N/A
Unknown|Staten Island|10/30/2007|2250|LP-02250|Standard Varnish Works Factory Office Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2250.jpg|2589 Richmond Terrace|American round arch, Rundbogenstil
Arnold William Brunner|Manhattan|3/18/2008|2252|LP-02252|Free Public Baths of the City of New York, East 11th Street Bath|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2252.jpg|538-540 East 11 Street|Renaissance Revival
Unknown|Staten Island|5/15/2007|2253|LP-02253|Nathaniel J. and Ann C. Wyeth House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2253.jpg|190 Meisner Avenue|N/A
Unknown|Manhattan|7/15/2008|2254|LP-02254|Morningside Park Scenic Landmark|Scenic Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2254.jpg|Manhattan Avenue, Morningside Avenue, Morningside Drive, West 110 Street (Cathedral Parkway), West 123 Street; 123 Morningside Drive; Manhattan Avenue, Morningside Avenue, West 114 Street|N/A
Unknown|Queens|4/3/2007|2255|LP-02255|Douglaston Hill Historic District|Historic District|FALSE|||N/A
Unknown|Manhattan|5/15/2007|2256|LP-02256|Manhattan Avenue Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2256.jpg||N/A
Unknown|Queens|6/26/2007|2258|LP-02258|Sunnyside Gardens Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2258.jpg||N/A
Unknown|Manhattan|10/28/2008|2259|LP-02259|St. Stephen's Church (The Church of Our Lady of the Scapular & St. Stephen)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2259.jpg|141-155 East 28 Street; 144-152 East 29 Street|N/A
Unknown|Manhattan|6/25/2013|2260|LP-02260|Church of St. Paul the Apostle|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2260.jpg|8-10 Columbus Avenue (Aka 120 West 60Th Street)|N/A
Unknown|Manhattan|7/23/2013|2260A|LP-02260A|Church of St. Paul the Apostle|Individual Landmark|FALSE||8-10 Columbus Avenue|N/A
Gross and Kleinberger|Manhattan|3/18/2008|2261|LP-02261|(Former) Congregation Beth Hamedrash Hagadol Anshe Ungarin (Great House of Study of the People of Hungary)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2261.jpg|242 East 7 Street|Classical Revival
Unknown|Manhattan|9/16/2008|2262|LP-02262|Wheatsworth Bakery Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2262.jpg|444 East 10 Street (Aka 436-446 East 10 Street)|N/A
Unknown|Manhattan|9/16/2008|2263|LP-02263|Public National Bank of New York Building (later Public National Bank & Trust Company of New York Building)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2263.jpg|106 Avenue C (Aka 231 East 7 Street)|N/A
Unknown|Brooklyn|10/30/2007|2264|LP-02264|Eberhard Faber Pencil Company Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2264.jpg||N/A
Unknown|Manhattan|11/18/2008|2267|LP-02267|Morris B. Sanders Studio & Apartment|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2267.jpg|219 East 49 Street|N/A
Theodore A. Havemeyer, Thomas Winslow, J.E. James|Brooklyn|9/25/2007|2268|LP-02268|(Former) Havemeyers & Elder Filter, Pan and Finishing House, Later known as the American Sugar Refining Company and the Domino Sugar Corporation|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2268.jpg|219-314 Kent Avenue|American round-arch
Unknown|Manhattan|10/30/2007|2269|LP-02269|511 Grand Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2269.jpg|511 Grand Street|Federal
Unknown|Manhattan|10/30/2007|2270|LP-02270|513 Grand Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2270.jpg|513 Grand Street|Federal
Starrett & Van Vleck|Manhattan|10/30/2007|2271|LP-02271|Lord & Taylor Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2271.jpg|424-434 Fifth Avenue|Italian Renaissance Revival
Unknown|Queens|10/30/2007|2272|LP-02272|Voelker Orth Museum, Bird Sanctuary and Victorian Garden|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2272.jpg|149-19 38 Avenue|Picturesque
Charles Rentz Jr|Manhattan|3/18/2008|2273|LP-02273|Webster Hall and Annex|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2273.jpg|119-125 East 11 Street|Queen Anne
Vaux and Radford|Manhattan|3/18/2008|2274|LP-02274|Children's Aid Society, Elizabeth Home for Girls|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2274.jpg|308 East 12 Street|High Victorian Gothic, Dutch Colonial Revival
Unknown|Brooklyn|12/18/2007|2279|LP-02279|DUMBO Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2279.jpg||N/A
Unknown|Brooklyn|5/11/2010|2280|LP-02280|William Ulmer Brewery|Individual Landmark|FALSE||26-28 Locust Street; 31 Belvedere Street; 35-43 Belvidere Street (Aka Belvedere Street); 71-83 Beaver Street (Aka 45-47 Belvidere Street, Aka Belvedere Street)|N/A
Crescent L. Varrone|Queens|2/12/2008|2283|LP-02283|Congregation Tifereth Israel|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2283.jpg|109-18 54 Avenue|Vernacular, Gothic Revival, Moorish
Unknown|Manhattan|9/16/2008|2284|LP-02284|Fire Engine Company No. 53|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2284.jpg|175 East 104 Street|N/A
John Y. Culyer|Brooklyn|11/20/2007|2285|LP-02285|Flatbush District No. 1 School, later Public School 90|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2285.jpg|2274-2286 Church Avenue; 2192-2210 Bedford Avenue|Rundbogenstil, American round-arch
Kenneth Franzheim|Manhattan|1/13/2009|2286|LP-02286|275 Madison Avenue Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2286.jpg|22 East 40 Street (Aka 273-277Madison Avenue; 22-26 East 40 Street)|International Style, Art Deco
Unknown|Manhattan|5/13/2008|2287|LP-02287|NoHo Historic District Extension|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2287.jpg||N/A
Lawrence Ryder|Brooklyn|1/13/2009|2292|LP-02292|Hubbard House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2292.jpg|2138 Mcdonald Avenue|Dutch-American
Unknown|Manhattan|2/10/2009|2294|LP-02294|One Chase Manhattan Plaza|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2294.jpg|1 Chase Manahttan Plaza|N/A
Arthur Loomis Harmon|Manhattan|3/18/2008|2296|LP-02296|The Allerton 39th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2296.jpg|145 East 29 Street, Aka 141-147 East 39 Street|Northern Italian Renaissance Revival
Cyrus L.W. Eidlitz|Manhattan|12/16/2008|2297|LP-02297|Society House of the American Society of Civil Engineers|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2297.jpg|220 West 57Th Street|N/A
Kirby Petit and Green|Bronx|2/5/2008|2298|LP-02298|American Bank Note Company Printing Plant|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2298.jpg|1201 Lafayette Avenue; 930 Garrison Avenue; 938 Garrison Avenue|Rundbogenstil, American round-arch, Industrial, Gothic Revival
Napoleon LeBrun & Son|Manhattan|11/18/2008|2299|LP-02299|(Former) Fire Engine Company No. 54|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2299.jpg|304 West 47 Street|Queen Anne, Romanesque Revival
Unknown|Manhattan|11/18/2008|2300|LP-02300|University Village now called Silver Towers I & II and 505 LaGuardia Place|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2300.jpg|100 And 110 Bleecker Street (Aka Silver Towers  I|N/A
Unknown|Manhattan|7/15/2008|2302|LP-02302|West Chelsea Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2302.jpg||N/A
Carrère and Hastings|Manhattan|1/13/2009|2304|LP-02304|New York Public Library, George Bruce Branch|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2304.jpg|518 West 125 Street (Aka 518-520 Dr. Martin Luther King Boulevard)|Georgian Revival
McKim, Mead & White|Manhattan|1/13/2009|2305|LP-02305|New York Public Library, 125th Street Branch|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2305.jpg|224 East 125 Street|Renaissance Revival
Kimball & Wisedell|Manhattan|10/28/2008|2308|LP-02308|F.W. Devoe & Co. Factory|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2308.jpg|110-112 Horatio Street|N/A
Unknown|Brooklyn|2/10/2009|2309|LP-02309|Alice and Agate Courts Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2309.jpg||N/A
Unknown|Bronx|3/24/2009|2311|LP-02311|New York Botanical Garden Museum (now Library) Building, Fountain of Life, and Tulip Tree Allee|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2311.jpg|Watson Drive And Garden Way|N/A
James Renwick, Jr.|Manhattan|12/16/2008|2312|LP-02312|St. Nicholas of Myra Orthodox Church|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2312.jpg|288 East 10 Street|Gothic Revival, Renaissance Revival
Unknown|Manhattan|2/10/2009|2313|LP-02313|Consolidated Edison Company Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2313.jpg|4 Irving Place|N/A
Unknown|Brooklyn|6/23/2009|2314|LP-02314|Prospect Heights Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2314.jpg||N/A
Brunner & Tryon|Manhattan|11/18/2008|2315|LP-02315|144 West 14th Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2315.jpg|144 West 14 Street|Renaissance Revival
William H. Gompert|Queens|3/24/2009|2316|LP-02316|Jamaica High School|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2316.jpg|167-01 Gothic Drive|Georgian Revival
Unknown|Queens|1/12/2010|2317|LP-02317|Public School 66|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2317.jpg|85-11 102 Street|N/A
C.B.J. Snyder|Manhattan|7/14/2009|2318|LP-02318|Grammar School No. 9 (Later Public School 9 / John Jasper School, Now Mickey Mantle School / Public School 811M)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2318.jpg|460-466 West End Avenue (Aka 253-257 West 82 Street)|N/A
Unknown|Queens|9/15/2009|2319|LP-02319|Ridgewood North Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2319.jpg||N/A
James W. Cole|Manhattan|6/23/2009|2320|LP-02320|Mount Olive Fire Baptized Holiness Church|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2320.jpg|308 West 122 Street (Aka 304-308 West 122 Street)|Gothic Revival, Romanesque Revival
Morris A. Gescheidt|Queens|10/20/2009|2321|LP-02321|Herman A. and Malvina Schleicher House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2321.jpg|11-41 123 Street|Italianate, Second Empire
McKim, Mead & White|Bronx|4/14/2009|2322|LP-02322|New York Public Library, Woodstock Branch|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2322.jpg|761 East 160 Street|N/A
Carrère and Hastings|Bronx|4/14/2009|2323|LP-02323|New York Public Library, Hunts Point Branch|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2323.jpg|877 Southern Boulevard|Italian Renaissance
Unknown|Manhattan|10/13/2009|2324|LP-02324|Lamartine Place Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2324.jpg||N/A
Thomas W. Lamb|Queens|1/12/2010|2325|LP-02325|Ridgewood Theater Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2325.jpg|55-27 Myrtle Avenue|Beaux-Arts
Unknown|Manhattan|7/27/2010|2326|LP-02326|Middleton S. and Emilie Neilson Burrill House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2326.jpg|36 East 38 Street|N/A
John H. Duncan|Manhattan|6/23/2009|2327|LP-02327|John Pierce Residence|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2327.jpg|11 East 51 Street|American basement, Italian Renaissance
August H. Blankenstein|Manhattan|11/17/2009|2328|LP-02328|Aschenbroedel Verein Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2328.jpg|74 East 4 Street|N/A
John G. Prague|Manhattan|10/6/2009|2329|LP-02329|The Edith Andrews Logan Residence|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2329.jpg|17 West 56 Street|N/A
D. & J. Jardine|Manhattan|11/10/2009|2330|LP-02330|E. Hayward and Amelia Parsons Ferry House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2330.jpg|26 West 56 Street|Neo-French Classical
Unknown|Manhattan|10/13/2009|2331|LP-02331|Ralph and Ann E. Van Wyck Mead House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2331.jpg|110 Second Avenue|Greek Revival
Unknown|Brooklyn|5/12/2009|2333|LP-02333|Fillmore Place Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2333.jpg||N/A
Unknown|Brooklyn|10/27/2009|2334|LP-02334|Ocean on the Park Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2334.jpg||N/A
Unknown|Manhattan|5/12/2009|2335|LP-02335|Audubon Park Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2335.jpg||N/A
Frank Freeman|Brooklyn|5/10/2011|2336|LP-02336|Brooklyn Union Gas Company Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2336.jpg|176 Remsen Street|Neo-Classical
Thomas Hastings of Carrère and Hastings|Manhattan|5/12/2009|2337|LP-02337|Fort Washington Presbyterian Church|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2337.jpg|21 Wadsworth Avenue|Neo-Georgian
Unknown|Manhattan|1/12/2010|2338|LP-02338|West Park Presbyterian Church|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2338.jpg|165 West 86 Street|N/A
Unknown|Bronx|12/15/2009|2339|LP-02339|Perry Avenue Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2339.jpg||N/A
Thomas Thomas|Manhattan|3/23/2010|2340|LP-02340|Joseph B. and Josephine H. Bissell House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2340.jpg|46 West 55 Street|Italianate
Thomas W. Lamb|Manhattan|11/17/2009|2342|LP-02342|Paramount Hotel|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2342.jpg|235 West 46 Street (235-245 West 46 Street)|French Renaissance
Unknown|Manhattan|1/12/2010|2343|LP-02343|311 Broadway Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2343.jpg|311 Broadway|Italian Renaissance
Unknown|Manhattan|11/17/2009|2345|LP-02345|145 Eighth Avenue House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2345.jpg|145 Eighth Avenue|Federal
Unknown|Manhattan|11/17/2009|2346|LP-02346|147 Eighth Avenue House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2346.jpg|147 Eighth Avenue|Federal
Unknown|Queens|10/26/2010|2348|LP-02348|Ridgewood South Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2348.jpg||N/A
Unknown|Staten Island|11/17/2009|2349|LP-02349|The Vanderzee-Harper House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2349.jpg|327 Westervelt Avenue|Queen Anne, Shingle
Unknown|Manhattan|2/9/2010|2350|LP-02350|143 Allen Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2350.jpg|143 Allen Street|Federal
Peter L.P. Tostevin|Manhattan|9/14/2010|2353|LP-02353|97 Bowery Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2353.jpg|97 Bowery|Italianate
Marc Eidlitz and Son|Manhattan|3/23/2010|2354|LP-02354|Germania Fire Insurance Company Bowery Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/2354.jpg|357 Bowery|Beaux Arts
Unknown|Brooklyn|6/28/2011|2361|LP-02361|Crown Heights North Historic District II|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2361.jpg||N/A
Unknown|Manhattan|5/11/2010|2362|LP-02362|SoHo-Cast Iron Historic District Extension|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/2362.jpg||N/A
